respondent_id,question_id,answer_text,sentiment
25,Q5,Not concerned,POSITIVE
25,Q6,Not sure,NEUTRAL
25,Q7,Not sure,NEUTRAL
25,Q8,Comfortable,POSITIVE
25,Q9,Absolutely necessary,NEGATIVE
25,Q10,Nothing really worries me,POSITIVE
25,Q11,I think it can,POSITIVE
25,Q12,Neutral / unsure,NEUTRAL
25,Q13,Yes,POSITIVE
25,Q14,I would not trust it,NEGATIVE
26,Q3,Neutral / not sure,NEUTRAL
26,Q5,A little concerned,NEGATIVE
26,Q6,Not sure,NEUTRAL
26,Q7,Unsure,NEUTRAL
26,Q8,Not sure,NEUTRAL
26,Q9,Maybe,NEUTRAL
26,Q10,"Safety, fairness, or job loss",NEGATIVE
26,Q11,Not sure,NEUTRAL
26,Q12,Neutral / unsure,NEUTRAL
26,Q13,Maybe / Not sure,NEUTRAL
26,Q14,Not sure,NEUTRAL
27,Q3,Excited or comfortable,POSITIVE
27,Q5,A little concerned,NEGATIVE
27,Q6,Agree,POSITIVE
27,Q7,I trust them,POSITIVE
27,Q8,Comfortable,POSITIVE
27,Q9,Absolutely necessary,NEGATIVE
27,Q10,"Safety, fairness, or job loss",NEGATIVE
27,Q11,I think it can,POSITIVE
27,Q12,Hopeful or positive,POSITIVE
27,Q13,Yes,POSITIVE
27,Q14,I would trust it,POSITIVE
28,Q3,Worried or uneasy,NEGATIVE
28,Q5,Not concerned,POSITIVE
28,Q6,Not sure,NEUTRAL
28,Q7,Unsure,NEUTRAL
28,Q8,Comfortable,POSITIVE
28,Q9,Absolutely necessary,NEGATIVE
28,Q10,Nothing really worries me,POSITIVE
28,Q11,I think it can,POSITIVE
28,Q12,Hopeful or positive,POSITIVE
28,Q13,Yes,POSITIVE
28,Q14,I would trust it,POSITIVE
29,Q3,Excited or comfortable,POSITIVE
29,Q5,A little concerned,NEGATIVE
29,Q6,Disagree,NEGATIVE
29,Q7,I trust them,POSITIVE
29,Q8,Comfortable,POSITIVE
29,Q9,Absolutely necessary,NEGATIVE
29,Q10,Privacy or transparency,NEGATIVE
29,Q11,I think it can,POSITIVE
29,Q12,Hopeful or positive,POSITIVE
29,Q13,Yes,POSITIVE
29,Q14,I would trust it,POSITIVE
30,Q3,Neutral / not sure,NEUTRAL
30,Q5,Not concerned,POSITIVE
30,Q6,Agree,POSITIVE
30,Q7,Unsure,NEUTRAL
30,Q8,Uncomfortable,NEGATIVE
30,Q9,Not necessary,POSITIVE
30,Q10,Nothing really worries me,POSITIVE
30,Q11,I don’t think so,NEGATIVE
30,Q12,Worried or negative,NEGATIVE
30,Q13,Yes,POSITIVE
30,Q14,I would trust it,POSITIVE
,,,
31,Q3,Worried or uneasy,NEGATIVE
31,Q5,Very concerned,NEGATIVE
31,Q6,Not sure,NEUTRAL
31,Q7,I trust them,POSITIVE
31,Q8,Comfortable,POSITIVE
31,Q9,Not necessary,POSITIVE
31,Q10,"Safety, fairness, or job loss",NEGATIVE
31,Q11,I think it can,POSITIVE
31,Q12,Hopeful or positive,POSITIVE
31,Q13,Yes,POSITIVE
31,Q14,I would not trust it,NEGATIVE
32,Q3,Worried or uneasy,NEGATIVE
32,Q5,Very concerned,NEGATIVE
32,Q6,Disagree,NEGATIVE
32,Q7,Unsure,NEUTRAL
32,Q8,Comfortable,POSITIVE
32,Q9,Maybe,NEUTRAL
32,Q10,Privacy or transparency,NEGATIVE
32,Q11,Not sure,NEUTRAL
32,Q12,Worried or negative,NEGATIVE
32,Q13,Maybe / Not sure,NEUTRAL
32,Q14,I would not trust it,NEGATIVE
33,Q3,Neutral / not sure,NEUTRAL
33,Q5,Not concerned,POSITIVE
33,Q6,Disagree,NEGATIVE
33,Q7,I trust them,POSITIVE
33,Q8,Not sure,NEUTRAL
33,Q9,Maybe,NEUTRAL
33,Q10,Privacy or transparency,NEGATIVE
33,Q11,Not sure,NEUTRAL
33,Q12,Neutral / unsure,NEUTRAL
33,Q13,Yes,POSITIVE
33,Q14,Not sure,NEUTRAL
34,Q3,Worried or uneasy,NEGATIVE
34,Q5,A little concerned,NEGATIVE
34,Q6,Agree,POSITIVE
34,Q7,Unsure,NEUTRAL
34,Q8,Comfortable,POSITIVE
34,Q9,Maybe,NEUTRAL
34,Q10,Privacy or transparency,NEGATIVE
34,Q11,I think it can,POSITIVE
34,Q12,Hopeful or positive,POSITIVE
34,Q13,No,NEGATIVE
34,Q14,Not sure,NEUTRAL
35,Q3,Excited or comfortable,POSITIVE
35,Q5,Very concerned,NEGATIVE
35,Q6,Agree,POSITIVE
35,Q7,I trust them,POSITIVE
35,Q8,Comfortable,POSITIVE
35,Q9,Maybe,NEUTRAL
35,Q10,"Safety, fairness, or job loss",NEGATIVE
35,Q11,Not sure,NEUTRAL
35,Q12,Hopeful or positive,POSITIVE
35,Q13,Yes,POSITIVE
35,Q14,I would trust it,POSITIVE
36,Q3,Excited or comfortable,POSITIVE
36,Q5,A little concerned,NEGATIVE
36,Q6,Agree,POSITIVE
36,Q7,I trust them,POSITIVE
36,Q8,Not sure,NEUTRAL
36,Q9,Maybe,NEUTRAL
36,Q10,"Safety, fairness, or job loss",NEGATIVE
36,Q11,I think it can,POSITIVE
36,Q12,Worried or negative,NEGATIVE
36,Q13,Yes,POSITIVE
36,Q14,I would trust it,POSITIVE
37,Q3,Neutral / not sure,NEUTRAL
37,Q5,A little concerned,NEGATIVE
37,Q6,Disagree,NEGATIVE
37,Q7,I don’t trust them,NEGATIVE
37,Q8,Not sure,NEUTRAL
37,Q9,Absolutely necessary,NEGATIVE
37,Q10,Privacy or transparency,NEGATIVE
37,Q11,I think it can,POSITIVE
37,Q12,Neutral / unsure,NEUTRAL
37,Q13,Yes,POSITIVE
37,Q14,Not sure,NEUTRAL
38,Q3,Neutral / not sure,NEUTRAL
38,Q5,A little concerned,NEGATIVE
38,Q6,Agree,POSITIVE
38,Q7,Unsure,NEUTRAL
38,Q8,Uncomfortable,NEGATIVE
38,Q9,Absolutely necessary,NEGATIVE
38,Q10,Privacy or transparency,NEGATIVE
38,Q11,I think it can,POSITIVE
38,Q12,Hopeful or positive,POSITIVE
38,Q13,Yes,POSITIVE
38,Q14,Not sure,NEUTRAL
39,Q3,Neutral / not sure,NEUTRAL
39,Q5,A little concerned,NEGATIVE
39,Q6,Not sure,NEUTRAL
39,Q7,Unsure,NEUTRAL
39,Q8,Not sure,NEUTRAL
39,Q9,Absolutely necessary,NEGATIVE
39,Q10,"Safety, fairness, or job loss",NEGATIVE
39,Q11,I think it can,POSITIVE
39,Q12,Hopeful or positive,POSITIVE
39,Q13,Yes,POSITIVE
39,Q14,Not sure,NEUTRAL
40,Q3,Worried or uneasy,NEGATIVE
40,Q5,Very concerned,NEGATIVE
40,Q6,Not sure,NEUTRAL
40,Q7,Unsure,NEUTRAL
40,Q8,Uncomfortable,NEGATIVE
40,Q9,Absolutely necessary,NEGATIVE
40,Q10,Privacy or transparency,NEGATIVE
40,Q11,I think it can,POSITIVE
40,Q12,Worried or negative,NEGATIVE
40,Q13,Maybe / Not sure,NEUTRAL
40,Q14,I would trust it,POSITIVE
,,,
41,Q3,Neutral / not sure,NEUTRAL
41,Q5,Very concerned,NEGATIVE
41,Q6,Not sure,NEUTRAL
41,Q7,I trust them,POSITIVE
41,Q8,Comfortable,POSITIVE
41,Q9,Maybe,NEUTRAL
41,Q10,Nothing really worries me,POSITIVE
41,Q11,I think it can,POSITIVE
41,Q12,Hopeful or positive,POSITIVE
41,Q13,Yes,POSITIVE
41,Q14,I would trust it,POSITIVE
42,Q3,Excited or comfortable,POSITIVE
42,Q5,A little concerned,NEGATIVE
42,Q6,Disagree,NEGATIVE
42,Q7,I don’t trust them,NEGATIVE
42,Q8,Comfortable,POSITIVE
42,Q9,Absolutely necessary,NEGATIVE
42,Q10,"Safety, fairness, or job loss",NEGATIVE
42,Q11,I think it can,POSITIVE
42,Q12,Worried or negative,NEGATIVE
42,Q13,Yes,POSITIVE
42,Q14,I would not trust it,NEGATIVE
43,Q3,Neutral / not sure,NEUTRAL
43,Q5,A little concerned,NEGATIVE
43,Q6,Agree,POSITIVE
43,Q7,I trust them,POSITIVE
43,Q8,Uncomfortable,NEGATIVE
43,Q9,Absolutely necessary,NEGATIVE
43,Q10,"Safety, fairness, or job loss",NEGATIVE
43,Q11,I think it can,POSITIVE
43,Q12,Neutral / unsure,NEUTRAL
43,Q13,Yes,POSITIVE
43,Q14,Not sure,NEUTRAL
44,Q3,Excited or comfortable,POSITIVE
44,Q5,A little concerned,NEGATIVE
44,Q6,Agree,POSITIVE
44,Q7,I trust them,POSITIVE
44,Q8,Comfortable,POSITIVE
44,Q9,Maybe,NEUTRAL
44,Q10,Privacy or transparency,NEGATIVE
44,Q11,Not sure,NEUTRAL
44,Q12,Hopeful or positive,POSITIVE
44,Q13,Yes,POSITIVE
44,Q14,I would trust it,POSITIVE
45,Q3,Neutral / not sure,NEUTRAL
45,Q5,Not concerned,POSITIVE
45,Q6,Agree,POSITIVE
45,Q7,Unsure,NEUTRAL
45,Q8,Comfortable,POSITIVE
45,Q9,Not necessary,POSITIVE
45,Q10,Nothing really worries me,POSITIVE
45,Q11,I think it can,POSITIVE
45,Q12,Hopeful or positive,POSITIVE
45,Q13,Maybe / Not sure,NEUTRAL
45,Q14,Not sure,NEUTRAL
46,Q3,Neutral / not sure,NEUTRAL
46,Q5,A little concerned,NEGATIVE
46,Q6,Disagree,NEGATIVE
46,Q7,I don’t trust them,NEGATIVE
46,Q8,Comfortable,POSITIVE
46,Q9,Absolutely necessary,NEGATIVE
46,Q10,Privacy or transparency,NEGATIVE
46,Q11,I think it can,POSITIVE
46,Q12,Hopeful or positive,POSITIVE
46,Q13,Yes,POSITIVE
46,Q14,I would not trust it,NEGATIVE
47,Q3,Neutral / not sure,NEUTRAL
47,Q5,A little concerned,NEGATIVE
47,Q6,Not sure,NEUTRAL
47,Q7,Unsure,NEUTRAL
47,Q8,Not sure,NEUTRAL
47,Q9,Absolutely necessary,NEGATIVE
47,Q10,"Safety, fairness, or job loss",NEGATIVE
47,Q11,I think it can,POSITIVE
47,Q12,Worried or negative,NEGATIVE
47,Q13,Yes,POSITIVE
47,Q14,Not sure,NEUTRAL
48,Q3,Worried or uneasy,NEGATIVE
48,Q5,Very concerned,NEGATIVE
48,Q6,Disagree,NEGATIVE
48,Q7,Unsure,NEUTRAL
48,Q8,Uncomfortable,NEGATIVE
48,Q9,Absolutely necessary,NEGATIVE
48,Q10,Privacy or transparency,NEGATIVE
48,Q11,I think it can,POSITIVE
48,Q12,Worried or negative,NEGATIVE
48,Q13,Maybe / Not sure,NEUTRAL
48,Q14,I would not trust it,NEGATIVE
49,Q3,Neutral / not sure,NEUTRAL
49,Q5,Very concerned,NEGATIVE
49,Q6,Agree,POSITIVE
49,Q7,Unsure,NEUTRAL
49,Q8,Not sure,NEUTRAL
49,Q9,Absolutely necessary,NEGATIVE
49,Q10,Privacy or transparency,NEGATIVE
49,Q11,I think it can,POSITIVE
49,Q12,Hopeful or positive,POSITIVE
49,Q13,Yes,POSITIVE
49,Q14,I would trust it,POSITIVE
50,Q3,Neutral / not sure,NEUTRAL
50,Q5,A little concerned,NEGATIVE
50,Q6,Agree,POSITIVE
50,Q7,I trust them,POSITIVE
50,Q8,Comfortable,POSITIVE
50,Q9,Maybe,NEUTRAL
50,Q10,"Safety, fairness, or job loss",NEGATIVE
50,Q11,I think it can,POSITIVE
50,Q12,Hopeful or positive,POSITIVE
50,Q13,Yes,POSITIVE
50,Q14,I would trust it,POSITIVE
,,,
51,Q3,Neutral / not sure,NEUTRAL
51,Q4,Sometimes,NEUTRAL
51,Q5,Neutral / not sure,NEUTRAL
51,Q6,Not confident at all,NEGATIVE
51,Q7,A little concerned,NEGATIVE
51,Q8,Disagree,NEGATIVE
51,Q9,I don’t trust them,NEGATIVE
51,Q10,Not sure,NEUTRAL
51,Q11,Absolutely necessary,NEGATIVE
51,Q12,Privacy or transparency,NEGATIVE
51,Q13,I think it can,POSITIVE
51,Q14,Neutral / unsure,NEUTRAL
51,Q15,No,NEGATIVE
51,Q16,Not sure,NEUTRAL
52,Q3,Neutral / not sure,NEUTRAL
52,Q4,Sometimes,NEUTRAL
52,Q5,Somewhat confident,POSITIVE
52,Q6,A little concerned,NEGATIVE
52,Q7,Agree,POSITIVE
52,Q8,I trust them,POSITIVE
52,Q9,Not sure,NEUTRAL
52,Q10,Absolutely necessary,NEGATIVE
52,Q11,Privacy or transparency,NEGATIVE
52,Q12,I think it can,POSITIVE
52,Q13,Hopeful or positive,POSITIVE
52,Q14,Yes,POSITIVE
52,Q15,I would trust it,POSITIVE
53,Q3,Excited or comfortable,POSITIVE
53,Q4,Often or very often,POSITIVE
53,Q5,Somewhat confident,POSITIVE
53,Q6,Not concerned,POSITIVE
53,Q7,Disagree,NEGATIVE
53,Q8,I don’t trust them,NEGATIVE
53,Q9,Uncomfortable,NEGATIVE
53,Q10,Maybe,NEUTRAL
53,Q11,Privacy or transparency,NEGATIVE
53,Q12,I think it can,POSITIVE
53,Q13,Hopeful or positive,POSITIVE
53,Q14,Yes,POSITIVE
53,Q15,Not sure,NEUTRAL
54,Q3,Worried or uneasy,NEGATIVE
54,Q4,Often or very often,POSITIVE
54,Q5,Somewhat confident,POSITIVE
54,Q6,A little concerned,NEGATIVE
54,Q7,Agree,POSITIVE
54,Q8,I don’t trust them,NEGATIVE
54,Q9,Uncomfortable,NEGATIVE
54,Q10,Not necessary,POSITIVE
54,Q11,Nothing really worries me,POSITIVE
54,Q12,Not sure,NEUTRAL
54,Q13,Hopeful or positive,POSITIVE
54,Q14,No,NEGATIVE
54,Q15,Not sure,NEUTRAL
55,Q3,Neutral / not sure,NEUTRAL
55,Q4,Sometimes,NEUTRAL
55,Q5,Very confident,POSITIVE
55,Q6,A little concerned,NEGATIVE
55,Q7,Agree,POSITIVE
55,Q8,Unsure,NEUTRAL
55,Q9,Comfortable,POSITIVE
55,Q10,Absolutely necessary,NEGATIVE
55,Q11,Privacy or transparency,NEGATIVE
55,Q12,Not sure,NEUTRAL
55,Q13,Neutral / unsure,NEUTRAL
55,Q14,Maybe / Not sure,NEUTRAL
55,Q15,Not sure,NEUTRAL
56,Q3,Worried or uneasy,NEGATIVE
56,Q4,Sometimes,NEUTRAL
56,Q5,Not confident at all,NEGATIVE
56,Q6,A little concerned,NEGATIVE
56,Q7,Disagree,NEGATIVE
56,Q8,I don’t trust them,NEGATIVE
56,Q9,Comfortable,POSITIVE
56,Q10,Maybe,NEUTRAL
56,Q11,"Safety, fairness, or job loss",NEGATIVE
56,Q12,I think it can,POSITIVE
56,Q13,Worried or negative,NEGATIVE
56,Q14,No,NEGATIVE
56,Q15,I would not trust it,NEGATIVE
57,Q3,Worried or uneasy,NEGATIVE
57,Q4,Often or very often,POSITIVE
57,Q5,Somewhat confident,POSITIVE
57,Q6,A little concerned,NEGATIVE
57,Q7,Agree,POSITIVE
57,Q8,Unsure,NEUTRAL
57,Q9,Not sure,NEUTRAL
57,Q10,Not necessary,POSITIVE
57,Q11,"Safety, fairness, or job loss",NEGATIVE
57,Q12,Not sure,NEUTRAL
57,Q13,Worried or negative,NEGATIVE
57,Q14,No,NEGATIVE
57,Q15,I would not trust it,NEGATIVE
58,Q3,Neutral / not sure,NEUTRAL
58,Q4,Sometimes,NEUTRAL
58,Q5,Somewhat confident,POSITIVE
58,Q6,A little concerned,NEGATIVE
58,Q7,Agree,POSITIVE
58,Q8,I don’t trust them,NEGATIVE
58,Q9,Not sure,NEUTRAL
58,Q10,Maybe,NEUTRAL
58,Q11,"Safety, fairness, or job loss",NEGATIVE
58,Q12,I think it can,POSITIVE
58,Q13,Hopeful or positive,POSITIVE
58,Q14,Yes,POSITIVE
58,Q15,I would not trust it,NEGATIVE
59,Q3,Worried or uneasy,NEGATIVE
59,Q4,Sometimes,NEUTRAL
59,Q5,Not confident at all,NEGATIVE
59,Q6,A little concerned,NEGATIVE
59,Q7,Agree,POSITIVE
59,Q8,Unsure,NEUTRAL
59,Q9,Not necessary,POSITIVE
59,Q10,"Safety, fairness, or job loss",NEGATIVE
59,Q11,I think it can,POSITIVE
59,Q12,Worried or negative,NEGATIVE
59,Q13,No,NEGATIVE
59,Q14,I would not trust it,NEGATIVE
60,Q3,Neutral / not sure,NEUTRAL
60,Q4,Often or very often,POSITIVE
60,Q5,Somewhat confident,POSITIVE
60,Q6,Not concerned,POSITIVE
60,Q7,Agree,POSITIVE
60,Q8,Unsure,NEUTRAL
60,Q9,Not sure,NEUTRAL
60,Q10,Maybe,NEUTRAL
60,Q11,Privacy or transparency,NEGATIVE
60,Q12,I think it can,POSITIVE
60,Q13,Neutral / unsure,NEUTRAL
60,Q14,Yes,POSITIVE
60,Q15,Not sure,NEUTRAL
,,,
61,Q3,Excited or comfortable,POSITIVE
61,Q4,Not confident at all,NEGATIVE
61,Q5,A little concerned,NEGATIVE
61,Q6,Agree,POSITIVE
61,Q7,I trust them,POSITIVE
61,Q8,Not sure,NEUTRAL
